texts,labels
"The National Hockey League will lock out its players Thursday, threatening to keep the sport off the ice for the entire 2004-05 season.",1
"AP - In a low-key end to a groundbreaking case that extended the reach of Australia's libel laws to the world, Dow Jones  amp; Co. has settled a defamation lawsuit launched against it by an Australian mining magnate.",3
AP - Alley Broussard ran for a career-high three touchdowns in the first 17 minutes and No. 13 LSU held Mississippi State to seven first downs and 130 yards in a 51-0 victory Saturday.,1
Reuters - The Houston Astros seemed as shocked as\they were happy after beating the Colorado Rockies 5-3 on\Sunday to clinch the National League wild card playoff berth\and cap an improbable late-season comeback.,1
"Arsenal could only manage a 1-1 draw away to Norwegian champions Rosenborg in the Champions League. While the Gunners have been unbeatable in the Premiership, they have struggled to make their mark in Europe and last night was another worrying evening.",1
"New NavOne offers handy PDA and Pocket PC connectivity, but fails to impress on everything else.",3
AFP - Japan took up with China the issue of a suspicious submarine that intruded into its waters amid alarm in Tokyo that the vessel was a show of strength from its neighbour and growing competitor.,0
World oil prices fell again on Tuesday as Iraq restored oil exports and hedge funds continued the rush to take profits from record highs.,0
 SINGAPORE (Reuters) - U.S. oil prices held above \$46 a  barrel on Tuesday on worries of a major supply disruption at a  time when producers are pumping at full tilt to meet strong  demand.,2
"OVER FIVE million websites have been built in the last five months, according to the latest Netcraft survey. This means that there are more than 55 million active sites on the Interweb.",3
AP - Cy Young Award winner Roy Halladay was activated from the 15-day disabled list and returned to the Toronto Blue Jays to start Tuesday night against the New York Yankees.,1
"Unable to keep up with security holes, attacks and government regulations, enterprises will turn to outside firms for 90 of their security by 2010, according to Yankee Group.",3
Verizon Wireless said Tuesday it won #39;t oppose the Federal Communications Commission #39;s decision to grant Nextel Communications Inc.,2
"Owners of Dell Inspiron notebooks have reported that Microsoft #39;s Windows Service Pack 2 is cutting their system speeds dramatically -- in some cases by a factor of almost ten, from 2.6GHz to 300MHz.",3
"Krispy Kreme Doughnuts Inc.(KKD.N: Quote, Profile, Research) on Thursday reported a sharp drop in quarterly profit and signaled that business may not recover any ",2
"AFP - Turkcell, Turkey's biggest mobile phone operator, said that it had signed a licence agreement with Iran to set up the first Iranian private mobile phone network conditional on paying a 300-million-euro (366-million-dollar) licence fee.",3
Restaurants with laid-back style arrive on the North Side of Chicago.,0
"Sao Paulo Mayor Marta Suplicy, a member of the governing Workers #39; Party, finished second in city elections to Jose Serra, a one-time presidential contender, setting the stage for a runoff ",0
 NEW YORK (Reuters) - Randy Johnson struck out 14 batters in  8 1/3 innings to help the Arizona Diamondbacks end a nine-game  losing streak with a 2-0 win over the host New York Mets in the  National League Sunday.,1
"Ketchup maker HJ Heinz Co. (HNZ.N: Quote, Profile, Research) on Tuesday said quarterly profit rose 7.8 percent, excluding a year-earlier tax benefit, as demand for new products ",2
"Over the last three decades, the number of Hispanics choosing ""some other race"" has surged rapidly, making it the Census Bureau's fastest growing racial category.",0
A drug safety expert says his invitation to participate in a meeting on the risks of arthritis drugs like Vioxx and Bextra has been rescinded by government officials because he publicly expressed concerns about the medications.,2
"Leaders of al-Qaida and the Taliban have held a series of meetings in Pakistan to discuss how to disrupt Afghanistan #39;s upcoming elections, the US military said Monday.",0
A US court has ruled that file-sharing firms are not responsible for what users do with their software.,3
Stock prices are lower in moderate trading. The Dow Jones Industrial Average is down 23 points in today #39;s early going. Losing issues on the New York Stock Exchange hold a 5-3 lead over gainers. ,2
"AFP - Japanese hi-tech giants Hitachi, Matsushita and Toshiba said they have agreed to jointly produce large liquid crystal display (LCD) panels for flat-screen televisions with one billion dollars in fresh investment.",3
"In 1995, actor Christopher Reeve fell off a horse and severely damaged his spinal cord, leaving him paralyzed from the neck down. From then until his death in October 2004, the silver screen Superman became the most famous face of spinal cord injury.",3
"Microsoft has extended its partnership with Yahoo to deliver sponsored search results on its U.S. and international MSN sites, despite the software maker's recent declarations that it intends to be a major force in the search market.",3
